repertoire_id,individual_id,receiver_id,pair_id,stage,context,session_number,n_calls
focal=Lola|conspecific=Odin|stage=after|session=2,Lola,Odin,A,after,non-partner,2,12
focal=Lola|conspecific=Odin|stage=after|session=3,Lola,Odin,A,after,non-partner,3,75
focal=Lola|conspecific=Odin|stage=after|session=4,Lola,Odin,A,after,non-partner,4,45
focal=Lola|conspecific=Odin|stage=after|session=5,Lola,Odin,A,after,non-partner,5,17
focal=Lola|conspecific=Odin|stage=after|session=6,Lola,Odin,A,after,non-partner,6,42
focal=Lola|conspecific=Wuschel|stage=after|session=2,Lola,Wuschel,A,after,non-partner,2,68
focal=Lola|conspecific=Wuschel|stage=after|session=3,Lola,Wuschel,A,after,non-partner,3,71
focal=Lola|conspecific=Wuschel|stage=after|session=4,Lola,Wuschel,A,after,non-partner,4,26
focal=Lola|conspecific=Wuschel|stage=after|session=5,Lola,Wuschel,A,after,non-partner,5,71
focal=Lola|conspecific=Wuschel|stage=after|session=6,Lola,Wuschel,A,after,non-partner,6,66
focal=Tabor|conspecific=Nougatti|stage=after|session=2,Tabor,Nougatti,A,after,non-partner,2,68
focal=Tabor|conspecific=Nougatti|stage=after|session=3,Tabor,Nougatti,A,after,non-partner,3,23
focal=Tabor|conspecific=Nougatti|stage=after|session=4,Tabor,Nougatti,A,after,non-partner,4,25
focal=Tabor|conspecific=Nougatti|stage=after|session=5,Tabor,Nougatti,A,after,non-partner,5,31
focal=Tabor|conspecific=Nougatti|stage=after|session=6,Tabor,Nougatti,A,after,non-partner,6,24
focal=Tabor|conspecific=Olympia|stage=after|session=2,Tabor,Olympia,A,after,non-partner,2,27
focal=Tabor|conspecific=Olympia|stage=after|session=3,Tabor,Olympia,A,after,non-partner,3,42
focal=Tabor|conspecific=Olympia|stage=after|session=4,Tabor,Olympia,A,after,non-partner,4,66
focal=Tabor|conspecific=Olympia|stage=after|session=5,Tabor,Olympia,A,after,non-partner,5,34
focal=Tabor|conspecific=Olympia|stage=after|session=6,Tabor,Olympia,A,after,non-partner,6,46
focal=Lola|conspecific=Tabor|stage=after|session=3,Lola,Tabor,A,after,partner,3,45
focal=Lola|conspecific=Tabor|stage=after|session=5,Lola,Tabor,A,after,partner,5,20
focal=Tabor|conspecific=Lola|stage=after|session=3,Tabor,Lola,A,after,partner,3,21
focal=Tabor|conspecific=Lola|stage=after|session=5,Tabor,Lola,A,after,partner,5,31
focal=Tabor|conspecific=Lola|stage=after|session=6,Tabor,Lola,A,after,partner,6,7
focal=Lola|conspecific=Odin|stage=before|session=1,Lola,Odin,A,before,non-partner,1,8
focal=Lola|conspecific=Odin|stage=before|session=5,Lola,Odin,A,before,non-partner,5,5
focal=Lola|conspecific=Wuschel|stage=before|session=4,Lola,Wuschel,A,before,non-partner,4,10
focal=Tabor|conspecific=Nougatti|stage=before|session=2,Tabor,Nougatti,A,before,non-partner,2,12
focal=Tabor|conspecific=Nougatti|stage=before|session=3,Tabor,Nougatti,A,before,non-partner,3,9
focal=Tabor|conspecific=Nougatti|stage=before|session=4,Tabor,Nougatti,A,before,non-partner,4,15
focal=Tabor|conspecific=Nougatti|stage=before|session=6,Tabor,Nougatti,A,before,non-partner,6,20
focal=Tabor|conspecific=Olympia|stage=before|session=1,Tabor,Olympia,A,before,non-partner,1,9
focal=Tabor|conspecific=Olympia|stage=before|session=2,Tabor,Olympia,A,before,non-partner,2,9
focal=Tabor|conspecific=Olympia|stage=before|session=3,Tabor,Olympia,A,before,non-partner,3,8
focal=Tabor|conspecific=Olympia|stage=before|session=4,Tabor,Olympia,A,before,non-partner,4,7
focal=Tabor|conspecific=Olympia|stage=before|session=5,Tabor,Olympia,A,before,non-partner,5,46
focal=Lola|conspecific=Tabor|stage=before|session=4,Lola,Tabor,A,before,partner,4,10
focal=Lola|conspecific=Tabor|stage=before|session=6,Lola,Tabor,A,before,partner,6,33
focal=Tabor|conspecific=Lola|stage=before|session=1,Tabor,Lola,A,before,partner,1,6
focal=Tabor|conspecific=Lola|stage=before|session=3,Tabor,Lola,A,before,partner,3,14
focal=Tabor|conspecific=Lola|stage=before|session=6,Tabor,Lola,A,before,partner,6,19
focal=Olympia|conspecific=Odin|stage=after|session=1,Olympia,Odin,B,after,non-partner,1,20
focal=Olympia|conspecific=Odin|stage=after|session=3,Olympia,Odin,B,after,non-partner,3,14
focal=Wuschel|conspecific=Lola|stage=after|session=2,Wuschel,Lola,B,after,non-partner,2,5
focal=Wuschel|conspecific=Lola|stage=after|session=3,Wuschel,Lola,B,after,non-partner,3,31
focal=Wuschel|conspecific=Lola|stage=after|session=4,Wuschel,Lola,B,after,non-partner,4,6
focal=Wuschel|conspecific=Lola|stage=after|session=5,Wuschel,Lola,B,after,non-partner,5,24
focal=Wuschel|conspecific=Lola|stage=after|session=6,Wuschel,Lola,B,after,non-partner,6,20
focal=Wuschel|conspecific=Nougatti|stage=after|session=4,Wuschel,Nougatti,B,after,non-partner,4,21
focal=Wuschel|conspecific=Nougatti|stage=after|session=5,Wuschel,Nougatti,B,after,non-partner,5,9
focal=Olympia|conspecific=Wuschel|stage=after|session=1,Olympia,Wuschel,B,after,partner,1,6
focal=Olympia|conspecific=Wuschel|stage=after|session=2,Olympia,Wuschel,B,after,partner,2,11
focal=Olympia|conspecific=Wuschel|stage=after|session=3,Olympia,Wuschel,B,after,partner,3,6
focal=Wuschel|conspecific=Olympia|stage=after|session=3,Wuschel,Olympia,B,after,partner,3,13
focal=Wuschel|conspecific=Olympia|stage=after|session=4,Wuschel,Olympia,B,after,partner,4,57
focal=Olympia|conspecific=Odin|stage=before|session=1,Olympia,Odin,B,before,non-partner,1,6
focal=Olympia|conspecific=Odin|stage=before|session=2,Olympia,Odin,B,before,non-partner,2,6
focal=Olympia|conspecific=Odin|stage=before|session=3,Olympia,Odin,B,before,non-partner,3,10
focal=Olympia|conspecific=Odin|stage=before|session=4,Olympia,Odin,B,before,non-partner,4,7
focal=Olympia|conspecific=Odin|stage=before|session=6,Olympia,Odin,B,before,non-partner,6,7
focal=Olympia|conspecific=Tabor|stage=before|session=1,Olympia,Tabor,B,before,non-partner,1,9
focal=Olympia|conspecific=Tabor|stage=before|session=4,Olympia,Tabor,B,before,non-partner,4,5
focal=Olympia|conspecific=Tabor|stage=before|session=5,Olympia,Tabor,B,before,non-partner,5,8
focal=Olympia|conspecific=Tabor|stage=before|session=6,Olympia,Tabor,B,before,non-partner,6,18
focal=Wuschel|conspecific=Lola|stage=before|session=2,Wuschel,Lola,B,before,non-partner,2,26
focal=Wuschel|conspecific=Lola|stage=before|session=3,Wuschel,Lola,B,before,non-partner,3,19
focal=Wuschel|conspecific=Lola|stage=before|session=4,Wuschel,Lola,B,before,non-partner,4,12
focal=Wuschel|conspecific=Nougatti|stage=before|session=2,Wuschel,Nougatti,B,before,non-partner,2,19
focal=Wuschel|conspecific=Nougatti|stage=before|session=4,Wuschel,Nougatti,B,before,non-partner,4,13
focal=Wuschel|conspecific=Nougatti|stage=before|session=5,Wuschel,Nougatti,B,before,non-partner,5,19
focal=Olympia|conspecific=Wuschel|stage=before|session=3,Olympia,Wuschel,B,before,partner,3,20
focal=Olympia|conspecific=Wuschel|stage=before|session=4,Olympia,Wuschel,B,before,partner,4,9
focal=Olympia|conspecific=Wuschel|stage=before|session=5,Olympia,Wuschel,B,before,partner,5,23
focal=Olympia|conspecific=Wuschel|stage=before|session=6,Olympia,Wuschel,B,before,partner,6,9
focal=Wuschel|conspecific=Olympia|stage=before|session=1,Wuschel,Olympia,B,before,partner,1,44
focal=Wuschel|conspecific=Olympia|stage=before|session=3,Wuschel,Olympia,B,before,partner,3,25
focal=Wuschel|conspecific=Olympia|stage=before|session=4,Wuschel,Olympia,B,before,partner,4,8
focal=Wuschel|conspecific=Olympia|stage=before|session=5,Wuschel,Olympia,B,before,partner,5,18
focal=Wuschel|conspecific=Olympia|stage=before|session=6,Wuschel,Olympia,B,before,partner,6,19
focal=Nougatti|conspecific=Tabor|stage=after|session=2,Nougatti,Tabor,C,after,non-partner,2,30
focal=Nougatti|conspecific=Tabor|stage=after|session=3,Nougatti,Tabor,C,after,non-partner,3,45
focal=Nougatti|conspecific=Tabor|stage=after|session=5,Nougatti,Tabor,C,after,non-partner,5,8
focal=Nougatti|conspecific=Tabor|stage=after|session=6,Nougatti,Tabor,C,after,non-partner,6,50
focal=Nougatti|conspecific=Wuschel|stage=after|session=3,Nougatti,Wuschel,C,after,non-partner,3,29
focal=Nougatti|conspecific=Wuschel|stage=after|session=4,Nougatti,Wuschel,C,after,non-partner,4,42
focal=Nougatti|conspecific=Wuschel|stage=after|session=5,Nougatti,Wuschel,C,after,non-partner,5,63
focal=Nougatti|conspecific=Wuschel|stage=after|session=6,Nougatti,Wuschel,C,after,non-partner,6,34
focal=Odin|conspecific=Lola|stage=after|session=2,Odin,Lola,C,after,non-partner,2,36
focal=Odin|conspecific=Lola|stage=after|session=3,Odin,Lola,C,after,non-partner,3,23
focal=Odin|conspecific=Lola|stage=after|session=4,Odin,Lola,C,after,non-partner,4,42
focal=Odin|conspecific=Lola|stage=after|session=5,Odin,Lola,C,after,non-partner,5,21
focal=Odin|conspecific=Lola|stage=after|session=6,Odin,Lola,C,after,non-partner,6,47
focal=Odin|conspecific=Olympia|stage=after|session=1,Odin,Olympia,C,after,non-partner,1,75
focal=Odin|conspecific=Olympia|stage=after|session=3,Odin,Olympia,C,after,non-partner,3,82
focal=Odin|conspecific=Olympia|stage=after|session=4,Odin,Olympia,C,after,non-partner,4,51
focal=Odin|conspecific=Olympia|stage=after|session=5,Odin,Olympia,C,after,non-partner,5,68
focal=Nougatti|conspecific=Odin|stage=after|session=3,Nougatti,Odin,C,after,partner,3,12
focal=Nougatti|conspecific=Odin|stage=after|session=6,Nougatti,Odin,C,after,partner,6,43
focal=Nougatti|conspecific=Tabor|stage=before|session=1,Nougatti,Tabor,C,before,non-partner,1,9
focal=Nougatti|conspecific=Tabor|stage=before|session=3,Nougatti,Tabor,C,before,non-partner,3,11
focal=Nougatti|conspecific=Tabor|stage=before|session=4,Nougatti,Tabor,C,before,non-partner,4,31
focal=Nougatti|conspecific=Tabor|stage=before|session=5,Nougatti,Tabor,C,before,non-partner,5,21
focal=Nougatti|conspecific=Tabor|stage=before|session=6,Nougatti,Tabor,C,before,non-partner,6,17
focal=Nougatti|conspecific=Wuschel|stage=before|session=1,Nougatti,Wuschel,C,before,non-partner,1,34
focal=Nougatti|conspecific=Wuschel|stage=before|session=2,Nougatti,Wuschel,C,before,non-partner,2,44
focal=Nougatti|conspecific=Wuschel|stage=before|session=3,Nougatti,Wuschel,C,before,non-partner,3,54
focal=Nougatti|conspecific=Wuschel|stage=before|session=4,Nougatti,Wuschel,C,before,non-partner,4,52
focal=Nougatti|conspecific=Wuschel|stage=before|session=5,Nougatti,Wuschel,C,before,non-partner,5,10
focal=Odin|conspecific=Lola|stage=before|session=1,Odin,Lola,C,before,non-partner,1,26
focal=Odin|conspecific=Lola|stage=before|session=3,Odin,Lola,C,before,non-partner,3,18
focal=Odin|conspecific=Lola|stage=before|session=4,Odin,Lola,C,before,non-partner,4,9
focal=Odin|conspecific=Lola|stage=before|session=5,Odin,Lola,C,before,non-partner,5,7
focal=Odin|conspecific=Lola|stage=before|session=6,Odin,Lola,C,before,non-partner,6,15
focal=Odin|conspecific=Olympia|stage=before|session=1,Odin,Olympia,C,before,non-partner,1,84
focal=Odin|conspecific=Olympia|stage=before|session=2,Odin,Olympia,C,before,non-partner,2,60
focal=Odin|conspecific=Olympia|stage=before|session=3,Odin,Olympia,C,before,non-partner,3,20
focal=Odin|conspecific=Olympia|stage=before|session=4,Odin,Olympia,C,before,non-partner,4,53
focal=Nougatti|conspecific=Odin|stage=before|session=1,Nougatti,Odin,C,before,partner,1,22
focal=Nougatti|conspecific=Odin|stage=before|session=2,Nougatti,Odin,C,before,partner,2,20
focal=Nougatti|conspecific=Odin|stage=before|session=3,Nougatti,Odin,C,before,partner,3,29
